;Cod_setor;lat;long;TIPO;income;longevity;literacy;population
447;352990605000002;-47.45510824871515;-24.281862143745084;URBANO;0.6208753875552515;0.7833333333333333;0.9606547781414804;1069.0
448;352990605000003;-47.45222276604402;-24.281565499620143;URBANO;0.6282883522219987;0.75;0.9507202239878182;879.0
449;352990605000004;-47.44878313744045;-24.28434826557974;URBANO;0.5948958457141691;0.8333333333333334;0.9770173846509724;886.0
450;352990605000005;-47.444038012315936;-24.28310001196355;URBANO;0.4999333306522609;0.6666666666666666;0.9750346603287781;877.0
451;352990605000006;-47.456078858916165;-24.29021857385581;URBANO;0.5303755992841439;0.7666666666666667;0.952783909737552;638.0
452;352990605000007;-47.460808166633235;-24.28609107294488;URBANO;0.6542454959546932;0.8166666666666667;0.9514592019058964;570.0
453;352990605000008;-47.46482537362124;-24.287270367276168;URBANO;0.5160884503625753;0.7833333333333333;0.9266871662081244;685.0
454;352990605000009;-47.44722414249434;-24.278739035150505;URBANO;0.4712920911797864;0.7333333333333333;0.9439169717553998;1168.0
455;352990605000010;-47.51150346234008;-24.30964711857096;URBANO;0.6282289212283003;0.9166666666666666;0.9766899766899768;186.0
456;352990605000011;-47.51182114437225;-24.317811469490124;URBANO;0.5526280515815011;0.8666666666666667;0.9665458937198068;466.0
457;352990605000012;-47.48136173670265;-24.250195784814096;RURAL;0.4736923847697092;0.8333333333333334;0.922035352142879;529.0
458;352990605000013;-47.43563762662712;-24.28876528865298;RURAL;0.5513629398621946;0.8;0.9086725756268464;610.0
459;352990605000014;-47.405283328681016;-24.289382044919293;RURAL;0.5272247348247996;0.7666666666666667;0.9515384615384616;468.0
460;352990605000015;-47.39584877050335;-24.315927085421855;RURAL;0.4866090593282109;0.6;0.9233511586452764;748.0
461;352990605000016;-47.45458585970529;-24.33144155537749;RURAL;0.4657360961509523;0.6833333333333333;0.8728395061728396;237.0
462;352990605000017;-47.4081753439271;-24.101905173104907;RURAL;0.4540780712189328;0.8333333333333334;0.9059561128526646;240.0
463;352990605000018;-47.42468779474646;-24.071247428186197;RURAL;0.7321429464405099;0.8166666666666667;1.0;31.0
464;352990605000019;-47.434797164361065;-24.21981160552914;RURAL;0.5028528454677255;0.75;0.8860716700473293;87.0
465;352990605000021;-47.36143601152551;-24.35452603721465;RURAL;0.4720979460386908;0.7833333333333333;0.9353378037349483;594.0
466;352990605000022;-47.410682696102924;-24.353454451386405;RURAL;0.4607227022084914;0.5333333333333333;0.9603174603174603;211.0
467;352990605000023;-47.482950920415554;-24.322488743543285;RURAL;0.5445774940546261;0.7833333333333333;0.941044041086253;573.0
468;352990605000024;-47.498270479993145;-24.289917772629902;RURAL;0.5578561456589276;0.8;0.8839117236852899;325.0
469;352990605000025;-47.49750423750423;-24.35291228691674;RURAL;0.4906066518804152;0.7;0.950069130216189;300.0
